Disease,Symptoms,Description
Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches","A common skin condition caused by a fungus. It can cause itching, rashes, and other changes to the skin's appearance."
Allergy,"continuous_sneezing, shivering, chills, watering_from_eyes","An exaggerated immune response to substances that are generally not harmful. Symptoms can range from mild sneezing to severe anaphylaxis."
GERD,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain","Gastroesophageal reflux disease (GERD) is a long-term condition where stomach acid comes back up into the esophagus."
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","A condition where the flow of bile from the liver is slowed or blocked. Bile is a fluid that helps with digestion."
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination","An adverse effect of a drug that is unintended. It can range from a mild rash to a life-threatening reaction."
Peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching","A sore that develops on the lining of the esophagus, stomach, or small intestine."
AIDS,"muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV)."
Diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite","A group of diseases that result in too much sugar in the blood (high blood glucose)."
Gastroenteritis,"stomach_pain, vomiting, dehydration, nausea, diarrhoea, sunken_eyes","An intestinal infection marked by watery diarrhea, abdominal cramps, nausea or vomiting, and sometimes fever."
Bronchial Asthma,"fatigue, cough, high_fever, breathlessness, family_history, mucoid_s sputum","A chronic disease of the airways that makes breathing difficult. It causes inflammation and narrowing of the tubes that carry air to the lungs."
Hypertension,"headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, blood_pressure_high","A condition in which the force of the blood against the artery walls is too high."
Migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, nausea, vomiting, stiff_neck","A type of headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head."
Cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance","Age-related wear and tear affecting the spinal disks in your neck."
Paralysis (brain hemorrhage),"vomiting, headache, weakness_of_one_body_side, altered_sensorium, loss_of_balance","The loss of the ability to move some or all of your body, often caused by a stroke resulting from bleeding in the brain."
Jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain","A medical condition with yellowing of the skin or whites of the eyes, arising from excess of the pigment bilirubin."
Malaria,"chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain","A disease caused by a parasite, transmitted by the bite of infected mosquitoes. It causes high fevers, shaking chills, and flu-like illness."
Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body","A highly contagious viral infection causing an itchy, blister-like rash on the skin."
Dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise","A mosquito-borne viral disease occurring in tropical and subtropical areas. Symptoms include high fever, headache, vomiting, muscle and joint pains, and a characteristic skin rash."
Typhoid,"chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain","A bacterial infection that can lead to a high fever, diarrhea, and vomiting. It can be fatal."
hepatitis A,"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, muscle_pain","A highly contagious liver infection caused by the hepatitis A virus."
Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, receiving_blood_transfusion, receiving_unsterile_injections","A serious liver infection caused by the hepatitis B virus that's easily preventable by a vaccine."
Hepatitis C,"fatigue, yellowish_skin, nausea, loss_of_appetite, family_history, receiving_blood_transfusion, receiving_unsterile_injections","An infection caused by a virus that attacks the liver and leads to inflammation."
Hepatitis D,"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, family_history","A serious liver disease caused by the hepatitis D virus (HDV)."
Hepatitis E,"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, family_history","A liver disease caused by the hepatitis E virus (HEV)."
Alcoholic hepatitis,"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload","Liver inflammation caused by drinking too much alcohol."
Tuberculosis,"cough, chest_pain, fatigue, weight_loss, breathlessness, high_fever, sweating, chills, malaise, phlegm, blood_in_sputum","An infectious bacterial disease characterized by the growth of nodules (tubercles) in the tissues, especially the lungs."
Common Cold,"continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion","A mild viral infection of the nose and throat."
Pneumonia,"chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum","An infection that inflames air sacs in one or both lungs, which may fill with fluid."
Dimorphic hemmorhoids(piles),"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus","Swollen and inflamed veins in the rectum and anus that cause discomfort and bleeding."
Heart attack,"vomiting, breathlessness, sweating, chest_pain, fast_heart_rate","A serious medical emergency in which the blood supply to the heart is suddenly blocked, usually by a blood clot."
Varicose veins,"fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf","Gnarled, enlarged veins, most commonly appearing in the legs and feet."
Hypothyroidism,"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability","A condition in which your thyroid gland doesn't produce enough of certain crucial hormones."
Hyperthyroidism,"fatigue, weight_loss, restlessness, sweating, mood_swings, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation","The overproduction of a hormone by the butterfly-shaped gland in the neck (thyroid)."
Hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, palpitations","A condition in which your blood sugar (glucose) level is lower than normal."
Osteoarthristis,"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking","The most common form of arthritis. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
Arthritis,"movement_stiffness, joint_pain, swelling_joints, painful_walking","Inflammation of one or more of your joints."
(vertigo) Paroymsal Positional Vertigo,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness","A sudden sensation that you're spinning or that the inside of your head is spinning."
Acne,"skin_rash, pus_filled_pimples, blackheads, scurring","A skin condition that occurs when your hair follicles become plugged with oil and dead skin cells."
Urinary tract infection,"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine","An infection in any part of your urinary system â€” your kidneys, ureters, bladder and urethra."
Psoriasis,"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails","A skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk and scalp."
Impetigo,"skin_rash, high_fever, blisters, red_sore_around_nose, yellow_crust_ooze","A common and highly contagious skin infection that mainly affects infants and children. It usually appears as red sores on the face."
